Title,Year,Movie_Hits,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,budget,revenue,runtime,tagline,Revenue-Budget Ratio,Revenue-Runtime Ratio,tagline_compound,tagline_neutral,tagline_negative,tagline_positive,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Rating,overview,overview_positive,overview_negative,overview_neutral,overview_compound,overview_processes,Personal Growth Drama,Group Conflict,Mission-Driven Thriller,Small-Town Heroism
#Alive,2020,63.0,62,1,0,0,0,6300000.0,13416285.0,98.0,You must survive.,2.1295690476190474,136900.8673469388,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Unknown,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",0.092,0.223,0.685,-0.4215,as a grisly virus rampages a city a lone man stays locked inside his apartment digitally cut off from seeking help and desperate to find a way out,0.015336367301642895,0.015285750851035118,0.9541186690330505,0.015259173698723316
(500) Days of Summer,2009,21.0,83,0,1,0,0,7500000.0,60781545.0,95.0,This is not a love story. This is a story about love.,8.104206,639805.7368421053,-0.7741,0.543,0.457,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,PG-13,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",0.22,0.097,0.683,0.802,tom greeting-card writer and hopeless romantic is caught completely off-guard when his girlfriend summer suddenly dumps him he reflects on their 500 days together to try to figure out where their love affair went sour and in doing so tom rediscovers his true passions in life,0.9710252285003662,0.0,0.0,0.0
...And God Created Woman,1956,0.0,60,0,0,1,0,300000.0,33000000.0,92.0,...but the devil invented Brigitte Bardot!,110.0,358695.652173913,-0.69,0.516,0.484,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,PG,"Juliette Hardy is sexual dynamite, and has the men of a French coastal town panting. But Antoine, the only man who affects her likewise, wouldn't dream of settling down with a woman his friends consider the town tramp.",0.177,0.051,0.772,0.6416,juliette hardy is sexual dynamite and has the men of a french coastal town panting but antoine the only man who affects her likewise wouldn't dream of settling down with a woman his friends consider the town tramp,0.01302781980484724,0.9609628319740295,0.012833180837333202,0.013176079839468002
10 Items or Less,2006,9.0,63,0,0,1,0,400.0,1.0,81.0,Sometimes in life you have to change lanes.,0.0025,0.0123456790123456,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,"An actor who is considering the role of a supermarket manager arrives at a grocery store on the outskirts of Los Angeles to do some field research. He subsequently becomes stranded, without a car or cell phone, and accepts a ride home with Scarlet, a cashier who is about to interview for a new job. The actor rediscovers the essence of his craft while helping Scarlet gain the confidence she needs to change her life.",0.147,0.0,0.853,0.8807,an actor who is considering the role of a supermarket manager arrives at a grocery store on the outskirts of los angeles to do some field research he subsequently becomes stranded without a car or cell phone and accepts a ride home with scarlet a cashier who is about to interview for a new job the actor rediscovers the essence of his craft while helping scarlet gain the confidence she needs to change her life,0.3172856569290161,0.0,0.669041097164154,0.0
102 Dalmatians,2000,12.0,60,0,0,0,1,85000000.0,183611771.0,100.0,Meet Two Unlikely Heroes With A Bone To Pick.,2.160138482352941,1836117.71,0.5106,0.68,0.0,0.32,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,G,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth - a parrot who thinks he's a Rottweiler - teams up with Oddball - an un-marked Dalmatian puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil.",0.254,0.04,0.706,0.9438,get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail in an unlikely alliance the outrageous waddlesworth - a parrot who thinks he's a rottweiler - teams up with oddball - an un-marked dalmatian puppy eager to earn her spots together they embark on a laugh-packed quest to outwit the ever-scheming cruella de vil,0.0,0.9805001616477966,0.0,0.0
12 Years a Slave,2013,37.0,85,0,1,0,0,20000000.0,187000000.0,134.0,The extraordinary true story of Solomon Northup.,9.35,1395522.3880597015,0.4215,0.682,0.0,0.318,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,R,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",0.21,0.157,0.633,0.4404,in the pre-civil war united states solomon northup a free black man from upstate new york is abducted and sold into slavery facing cruelty as well as unexpected kindnesses solomon struggles not only to stay alive but to retain his dignity in the twelfth year of his unforgettable odyssey solomon’s chance meeting with a canadian abolitionist will forever alter his life,0.9784647822380066,0.0,0.0,0.0
127 Hours,2010,26.0,81,0,1,0,0,18000000.0,35700000.0,94.0,Every second counts.,1.9833333333333327,379787.2340425532,0.0,1.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,R,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,0.3,0.121,0.579,0.7964,the true story of mountain climber aron ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in utah,0.01426656823605299,0.014280923642218113,0.9573169946670532,0.014135461300611496
13 Assassins,2010,26.0,74,0,1,0,0,6000000.0,17555141.0,141.0,Take up your sword.,2.925856833333333,124504.54609929078,0.0,1.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,R,A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.,0.027,0.044,0.929,-0.1779,a bravado period action film set at the end of japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future,0.9677063822746277,0.010884563438594341,0.010610941797494888,0.010798110626637936
1492: Conquest of Paradise,1992,4.0,64,0,0,1,0,47000000.0,7191399.0,154.0,"Centuries before the exploration of space, there was another voyage into the unknown.",0.1530084893617021,46697.396103896106,0.2263,0.863,0.0,0.137,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,PG-13,1492: Conquest of Paradise depicts Christopher Columbus’ discovery of The New World and his effect on the indigenous people.,0.189,0.0,0.811,0.6369,1492: conquest of paradise depicts christopher columbus’ discovery of the new world and his effect on the indigenous people,0.9230197668075562,0.025450147688388824,0.025762805715203285,0.025767283514142036
1922,2017,3.0,84,1,0,0,0,5000000.0,2943477.0,102.0,Your darkest secrets never stay buried.,0.5886954,28857.617647058825,-0.4939,0.61,0.39,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,R,"A simple yet proud rancher conspires to murder his wife for financial gain, convincing his teenage son to participate.",0.33,0.168,0.502,0.5423,a simple yet proud rancher conspires to murder his wife for financial gain convincing his teenage son to participate,0.018674124032258987,0.018827416002750397,0.9437707662582397,0.018727710470557213
